source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s24,s04,2.0,8.718464685916572,1.0,1.0,2.0,2.0,0.022222222222222223,0.0017241379310344827,0.0,1.0,0.6534482758620689,0.7776126162005228,0.37324844690198017,stage2_probe,s12
s02,s04,2.0,10.16367137336642,1.0,6.0,7.0,,,,,,,,,stage1_pruned,s12
s11,s04,2.0,10.304864779184106,1.0,7.0,8.0,,,,,,,,,stage1_pruned,s12
s17,s04,2.0,10.320978652531856,1.0,8.0,9.0,,,,,,,,,stage1_pruned,s12
s09,s04,2.0,10.421173691398923,1.0,9.0,10.0,,,,,,,,,stage1_pruned,s12
s22,s04,2.0,10.469298946978647,1.0,10.0,11.0,,,,,,,,,stage1_pruned,s12
s15,s04,2.0,10.592698984641537,1.0,11.0,12.0,,,,,,,,,stage1_pruned,s12
s06,s04,2.0,10.594298590449107,1.0,12.0,13.0,,,,,,,,,stage1_pruned,s12
s18,s04,2.0,10.599639189858523,1.0,13.0,14.0,,,,,,,,,stage1_pruned,s12
s26,s04,2.0,10.861921182980222,1.0,14.0,15.0,,,,,,,,,stage1_pruned,s12
s13,s04,2.0,10.867616832798692,1.0,15.0,16.0,,,,,,,,,stage1_pruned,s12
s07,s04,2.0,10.97935600881911,1.0,16.0,17.0,,,,,,,,,stage1_pruned,s12
s19,s04,2.0,10.986920410793777,1.0,17.0,18.0,,,,,,,,,stage1_pruned,s12
s05,s04,2.0,11.060826705756249,1.0,18.0,19.0,,,,,,,,,stage1_pruned,s12
s08,s04,2.0,11.099666727283006,1.0,19.0,20.0,,,,,,,,,stage1_pruned,s12
s16,s04,2.0,11.170609745609331,1.0,20.0,21.0,,,,,,,,,stage1_pruned,s12
s14,s04,2.0,11.188411723305366,1.0,21.0,22.0,,,,,,,,,stage1_pruned,s12
s21,s04,2.0,11.207379326216365,1.0,22.0,23.0,,,,,,,,,stage1_pruned,s12
s31,s04,2.0,11.283787418343046,1.0,23.0,24.0,,,,,,,,,stage1_pruned,s12
s32,s04,2.0,11.413501092887184,1.0,24.0,25.0,,,,,,,,,stage1_pruned,s12
s30,s04,2.0,11.489938407692982,1.0,25.0,26.0,,,,,,,,,stage1_pruned,s12
s29,s04,2.0,11.901636208859072,1.0,26.0,27.0,,,,,,,,,stage1_pruned,s12
s03,s04,2.0,11.913828124128107,1.0,27.0,28.0,,,,,,,,,stage1_pruned,s12
s20,s04,2.0,12.094559162591402,1.0,28.0,29.0,,,,,,,,,stage1_pruned,s12
s27,s04,2.0,12.232906750834339,1.0,29.0,30.0,,,,,,,,,stage1_pruned,s12
s23,s04,2.0,12.362451657708597,1.0,30.0,31.0,,,,,,,,,stage1_pruned,s12
s01,s04,2.0,13.437295676187567,1.0,31.0,32.0,,,,,,,,,stage1_pruned,s12
s15,s05,2.0,8.357354657630504,2.0,3.0,5.0,79.0,0.8777777777777778,0.08448275862068966,0.6333333333333333,1.0,0.5612068965517242,0.8234112750707318,0.6286418281213527,stage2_probe,s15
s32,s05,2.0,8.024389739922768,2.0,1.0,3.0,28.0,0.3111111111111111,0.04655172413793104,0.5,1.0,0.5336206896551724,0.8216299775594899,0.5037826483032618,stage2_probe,s15
s10,s05,2.0,8.63163304152982,2.0,4.0,6.0,6.0,0.06666666666666667,0.07844827586206897,0.5,1.0,0.5827586206896551,0.9088368460973474,0.4876832216152122,stage2_probe,s15
s31,s05,2.0,8.745356032649472,2.0,5.0,7.0,13.0,0.14444444444444443,0.03879310344827586,0.5,1.0,0.5543103448275862,0.8091886710830091,0.4807467898759895,stage2_probe,s15
s08,s05,2.0,8.237598103643696,2.0,2.0,4.0,8.0,0.08888888888888889,0.011206896551724138,0.5,1.0,0.6008620689655173,0.8109746833770336,0.47629586060563334,stage2_probe,s15
s19,s05,2.0,8.77292962905004,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s15
s30,s05,2.0,8.777896158711371,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s15
s26,s05,2.0,8.974011088294377,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s15
s06,s05,2.0,9.17412720108082,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s15
s03,s05,2.0,9.195721500713603,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s15
s18,s05,2.0,9.25406507952831,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s15
s14,s05,2.0,9.365220540319413,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s15
s16,s05,2.0,9.474737124918375,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s15
s02,s05,2.0,9.50459216655601,2.0,14.0,16.0,,,,,,,,,stage1_pruned,s15
s09,s05,2.0,9.5268668020519,2.0,15.0,17.0,,,,,,,,,stage1_pruned,s15
s21,s05,2.0,9.57879615946041,2.0,16.0,18.0,,,,,,,,,stage1_pruned,s15
s20,s05,2.0,9.578872641645383,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s15
s17,s05,2.0,9.58534055133855,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s15
s13,s05,2.0,9.648728716477397,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s15
s07,s05,2.0,9.654384712833464,2.0,20.0,22.0,,,,,,,,,stage1_pruned,s15
