source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s15,s14,2.0,10.167355995334102,3.0,9.0,12.0,,,,,,,,,stage1_pruned,s12
s06,s14,2.0,10.201228821861283,3.0,10.0,13.0,,,,,,,,,stage1_pruned,s12
s28,s14,2.0,10.340585804470765,3.0,11.0,14.0,,,,,,,,,stage1_pruned,s12
s10,s14,2.0,10.363372986419733,3.0,12.0,15.0,,,,,,,,,stage1_pruned,s12
s18,s14,2.0,10.383551526344723,3.0,13.0,16.0,,,,,,,,,stage1_pruned,s12
s29,s14,2.0,10.49080591670341,3.0,14.0,17.0,,,,,,,,,stage1_pruned,s12
s30,s14,2.0,10.678610425005676,3.0,15.0,18.0,,,,,,,,,stage1_pruned,s12
s27,s14,1.9666666666666668,10.86542411730342,1.0,18.0,19.0,,,,,,,,,stage1_pruned,s12
s25,s14,2.0,10.74955525274158,3.0,16.0,19.0,,,,,,,,,stage1_pruned,s12
s02,s14,2.0,10.812786295959205,3.0,17.0,20.0,,,,,,,,,stage1_pruned,s12
s22,s14,2.0,10.979270964632008,3.0,19.0,22.0,,,,,,,,,stage1_pruned,s12
s04,s14,2.0,11.063923376440952,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s12
s23,s14,2.0,11.095766067163956,3.0,21.0,24.0,,,,,,,,,stage1_pruned,s12
s05,s14,2.0,11.129697032064028,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s12
s19,s14,2.0,11.156678396816094,3.0,23.0,26.0,,,,,,,,,stage1_pruned,s12
s20,s14,2.0,11.212176111974648,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s12
s26,s14,2.0,11.246512772908172,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s12
s01,s14,2.0,11.311719286855103,3.0,26.0,29.0,,,,,,,,,stage1_pruned,s12
s32,s14,2.0,11.44409018670072,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s12
s13,s14,2.0,11.509940230652058,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s12
s11,s14,2.0,11.607393752454952,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s12
s03,s14,2.0,11.614145373565009,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s12
s21,s14,2.0,12.724864367369847,3.0,31.0,34.0,,,,,,,,,stage1_pruned,s12
s03,s15,1.9833333333333334,5.8729700023676354,2.0,3.0,5.0,60.0,1.0,0.9956896551724138,1.0,1.0,0.8663793103448276,1.0,0.9724137931034483,stage2_probe,s03
