source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s32,s14,2.0,8.90721634878563,2.0,1.0,3.0,60.0,1.0,0.14224137931034483,1.0,1.0,0.7094827586206897,0.8485118879755063,0.7627704219849823,stage2_probe,s09
s26,s14,2.0,9.38131750614432,2.0,6.0,8.0,,,,,,,,,stage1_pruned,s09
s08,s14,2.0,9.40126191914286,2.0,7.0,9.0,,,,,,,,,stage1_pruned,s09
s10,s14,2.0,9.441271710051348,2.0,8.0,10.0,,,,,,,,,stage1_pruned,s09
s18,s14,2.0,9.5227390553661,2.0,9.0,11.0,,,,,,,,,stage1_pruned,s09
s19,s14,2.0,9.555139799169286,2.0,10.0,12.0,,,,,,,,,stage1_pruned,s09
s30,s14,2.0,9.568973180577299,2.0,11.0,13.0,,,,,,,,,stage1_pruned,s09
s17,s14,2.0,9.688737183150625,2.0,12.0,14.0,,,,,,,,,stage1_pruned,s09
s20,s14,2.0,9.738814022731226,2.0,13.0,15.0,,,,,,,,,stage1_pruned,s09
s07,s14,2.0,9.890822421071315,2.0,14.0,16.0,,,,,,,,,stage1_pruned,s09
s31,s14,2.0,9.964883300795886,2.0,15.0,17.0,,,,,,,,,stage1_pruned,s09
s06,s14,2.0,9.986097814227342,2.0,16.0,18.0,,,,,,,,,stage1_pruned,s09
s13,s14,2.0,10.015787095161746,2.0,17.0,19.0,,,,,,,,,stage1_pruned,s09
s21,s14,2.0,10.101508451741845,2.0,18.0,20.0,,,,,,,,,stage1_pruned,s09
s12,s14,2.0,10.411467871859486,2.0,19.0,21.0,,,,,,,,,stage1_pruned,s09
s28,s14,2.0,10.448836598750486,2.0,20.0,22.0,,,,,,,,,stage1_pruned,s09
s25,s14,2.0,10.529193460442906,2.0,21.0,23.0,,,,,,,,,stage1_pruned,s09
s24,s14,2.0,10.632628090065246,2.0,22.0,24.0,,,,,,,,,stage1_pruned,s09
s29,s14,2.0,10.74977634396904,2.0,23.0,25.0,,,,,,,,,stage1_pruned,s09
s27,s14,2.0,10.883327589557814,2.0,24.0,26.0,,,,,,,,,stage1_pruned,s09
s03,s14,2.0,10.908221163533534,2.0,25.0,27.0,,,,,,,,,stage1_pruned,s09
s02,s14,2.0,11.173360299519297,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s09
s04,s14,2.0,11.222167874637968,2.0,27.0,29.0,,,,,,,,,stage1_pruned,s09
