Dataset,Task,N_pairs,Source_Only_Acc,Transfer_Acc,Mean_Gain,Win_Rate,Win_Count,Loss_Count,Zero_Count,Max_Gain,Min_Gain,Median_Gain,Std_Gain
task1,binary,32,0.5085937500000001,0.52890625,0.020312499999999994,0.53125,17,8,7,0.1999999999999999,-0.15,0.024999999999999953,0.08602268505312999
task1,threeclass,32,0.34765625,0.278125,-0.06953124999999999,0.3125,10,21,1,0.3,-0.475,-0.04999999999999995,0.18453217611960657
official,binary,32,0.490625,0.571875,0.08124999999999999,0.6875,22,5,5,0.375,-0.275,0.062499999999999944,0.1315472823740574
official,threeclass,32,0.3296875,0.278125,-0.05156249999999999,0.28125,9,19,4,0.35,-0.425,-0.025,0.17342342285213377
